Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units,New_Std Value
CHEMBL3409986,Nc1ccc(NS(=O)(=O)c2cccc(-c3csc(=O)[nH]3)c2)cc1,IC50,8330.0,nM,8330.0
CHEMBL3409989,O=c1[nH]c(-c2cccc(S(=O)(=O)NCCc3cccs3)c2)cs1,IC50,10000.0,nM,10000.0
CHEMBL3409991,O=c1[nH]c(-c2cccc(S(=O)(=O)NC3CCOC3)c2)cs1,IC50,5820.0,nM,5820.0
CHEMBL4099010,CCS(=O)(=O)Nc1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(F)cc(F)c1O2,EC50,6.5,nM,4.0
CHEMBL4068431,CCS(=O)(=O)Nc1cnc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(F)cc(F)c1O2,EC50,6.4,nM,3.6
CHEMBL4096095,COc1cc2c(cc1NS(=O)(=O)c1ccc(C#N)cc1)c(C)cc(=O)n2C,IC50,17000.0,nM,17000.0
CHEMBL4069814,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,IC50,600.0,nM,600.0
CHEMBL4076944,C=CCn1cc(C(=O)N(C)C2CCN(c3cc(-c4ccco4)ncn3)CC2)c2cc[nH]c2c1=O,IC50,20000.0,nM,20000.0
CHEMBL4076603,Cc1cc2c(cc1N1C(=O)c3cccc4cc(N)cc(c34)C1=O)n(C)c(=O)n2C,IC50,9950.0,nM,14975.0
CHEMBL4064164,Cc1cc2c(cc1N1C(=O)c3cccc4c(N5CCN(CCN(C)C)CC5)ccc(c34)C1=O)n(C)c(=O)n2C,IC50,12950.0,nM,13975.0
CHEMBL4092917,Cc1cc2c(cc1N1C(=O)c3cccc4c(N5CCCCC5)ccc(c34)C1=O)n(C)c(=O)n2C,IC50,15000.0,nM,14750.0
CHEMBL525721,O=C(Nc1ncnc2nc[nH]c12)c1ccccc1,IC50,34200.0,nM,34200.0
CHEMBL3398337,CSc1ccccc1C(=O)Nc1ncnc2[nH]cnc12,IC50,29700.0,nM,29700.0
CHEMBL3398341,COc1cc(OC)c(C(=O)Nc2ncnc3[nH]cnc23)cc1OC,IC50,427.0,nM,427.0
CHEMBL3650904,COc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(Cl)cc2)N(c2ccc4onc(C)c4c2)C3=O)c(OC)n1,IC50,260.0,nM,260.0
CHEMBL2179391,COc1cccc(S(=O)(=O)Nc2ccc3c(c2)CN(C)C(=O)N3)c1,IC50,730.0,nM,730.0
CHEMBL3354000,COC(=O)c1ccc(-c2ccc3c(c2)[C@H](Nc2ccc(F)cc2)C[C@H](C)N3C(C)=O)cc1,IC50,794.33,nM,794.33
CHEMBL3354004,COc1ccccc1N[C@@H]1C[C@H](C)N(C(C)=O)c2ccc(-c3ccc(C(=O)O)cc3)cc21,IC50,630.96,nM,630.96
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,145.0,nM,163.53355932203388
CHEMBL4209113,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-c3c[nH]c4ccccc34)c12,IC50,5.5,nM,7.95
CHEMBL4207609,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-c3c(C)oc4ccccc34)c12,IC50,12.2,nM,14.175
CHEMBL4215403,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-c3c(C4CC4)n[nH]c3C)c12,IC50,11.7,nM,11.375
CHEMBL4171228,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(-c3ccnc4ccccc34)c12,Kd,2.0,nM,10.399999999999999
CHEMBL4210062,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-c3c(C)[nH]c4cnccc34)c12,Ki,9.1,nM,12.5
CHEMBL4212515,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-n3cnc4ccccc43)c12,Ki,2.8,nM,12.875
CHEMBL4210981,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ncnc(-c3c(C)n[nH]c3C)c12,Ki,20.2,nM,38.775
CHEMBL3650891,Cn1cc(N2C(=O)c3nn(C4CC4)c(C(F)(F)F)c3C2c2ccc(Cl)cc2)cc(Cl)c1=O,IC50,220.0,nM,220.0
CHEMBL4215988,Cn1cc2c3c(c[nH]c(=O)c31)-c1cc(CS(C)(=O)=O)ccc1N(c1ccc(F)cc1)C2,IC50,2.5,nM,2.375
CHEMBL4203764,Cn1cc2c3c(c[nH]c(=O)c31)-c1cc(CS(C)(=O)=O)ccc1N(C(=O)C1CC1)C2,IC50,31.0,nM,19.35
CHEMBL4217457,Cn1cc2c3c(c[nH]c3c1=O)CN(c1ccc(F)cc1F)c1ccc(CS(C)(=O)=O)cc1-2,IC50,3.6,nM,1.95
CHEMBL4207708,Cn1cc2c3c(c[nH]c(=O)c31)CN(CC1CC1)c1ccc(S(C)(=O)=O)cc1-2,IC50,190.0,nM,185.0
CHEMBL4202497,Cn1cc2c3c(c[nH]c3c1=O)CN(CC1CC1)c1ccc(S(C)(=O)=O)cc1-2,IC50,28.0,nM,27.0
CHEMBL4208129,Cn1cc2c3c(c[nH]c3c1=O)CN(c1ccccn1)c1ccc(CS(C)(=O)=O)cc1-2,Ki,0.62,nM,1.255
CHEMBL4436481,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCOCCOCCNC(=O)OC(C)(C)C)c1nnc(C)n1-2,EC50,526.0,nM,590.0
CHEMBL3590397,Cc1cc2ccnc(N[C@H]3CCNC[C@@H]3OCC3CCS(=O)(=O)CC3)c2[nH]c1=O,IC50,5011.87,nM,5011.87
CHEMBL3590407,CCc1cc2c(-c3cncc(C)c3)cnc(N[C@@H]3CCNC[C@H]3OCC3CCS(=O)(=O)CC3)c2[nH]c1=O,IC50,10000.0,nM,10000.0
CHEMBL4649837,CNC(=O)c1cc(C(=O)NCC(C)C)cn(Cc2ccccc2)c1=O,IC50,50118.72,nM,25309.955
CHEMBL4634917,CNC(=O)c1cc(C(=O)NCCC(C)C)cn(Cc2ccccc2)c1=O,IC50,31622.78,nM,15874.335
CHEMBL4638058,CNC(=O)c1cc(C(=O)NC2CCC2)cn(Cc2cccnc2)c1=O,IC50,50118.72,nM,25559.36
CHEMBL4634679,CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2cccc(C)c2)c1=O,IC50,15848.93,nM,7956.015
CHEMBL4648431,CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2cccc3[nH]ccc23)c1=O,IC50,19952.62,nM,9984.234999999999
CHEMBL4634393,CNC(=O)c1cc(C(=O)NCCC2CCCNC2)cn(Cc2ccccc2)c1=O.Cl,IC50,25118.86,nM,37618.79
CHEMBL4647845,CNC(=O)c1cc(C(=O)NC2CC2)c(C)n(Cc2ccccc2)c1=O,IC50,1995.26,nM,26056.99
CHEMBL4637442,CNC(=O)c1ccc(=O)n(Cc2cc(Br)ccc2F)c1,IC50,100000.0,nM,53971.64
CHEMBL4643576,CNC(=O)c1cc(C(=O)NCCOC)cn(Cc2ccccc2)c1=O,IC50,7943.28,nM,4287.12
CHEMBL3086890,O=S(=O)(Nc1ccccn1)c1ccc(/N=N/c2ccc(O)c(O)c2)cc1,Ki,4590.0,nM,4250.0
CHEMBL3086886,COc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)c(N)cc1O,Ki,1280.0,nM,3335.0
CHEMBL3087049,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)cc(Cl)c1O,Ki,1400.0,nM,3105.0
CHEMBL3087046,COc1cc(/N=N/c2cc(C)c(O)c(C)c2)ccc1S(=O)(=O)Nc1ccccn1,Ki,3130.0,nM,5450.0
CHEMBL3086896,Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccc(C(N)=O)cc3)cc2)cc(C)c1O,Ki,9600.0,nM,10900.0
CHEMBL4065619,CC(=O)c1cc(-c2cc(C(=O)NC3CC3)ccc2C)c2ncccn12,Kd,10000.0,nM,5495.0
CHEMBL4457036,C[C@H]1CCN(S(=O)(=O)c2cc(NC(=O)CN3C(=O)CNC3=O)ccc2Cl)C1,IC50,50118.72,nM,50118.72
CHEMBL4205255,Cc1cccc2c1CCN2C(=O)c1ccc2c(n1)N(C1CC1)C(C)C(=O)N2C,IC50,199.0,nM,199.0
CHEMBL4213080,CC1C(=O)N(C)c2ccc(C(=O)N3CCc4ccccc43)cc2N1C1CCCC1,IC50,17.4,nM,17.4
CHEMBL4208164,CC1C(=O)N(C)c2ccc(C(=O)N3CCc4cc(F)ccc43)cc2N1C1CC1,IC50,81.7,nM,81.7
CHEMBL4208894,CC1Cc2ccccc2N1C(=O)c1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C,IC50,36.2,nM,36.2
CHEMBL4204922,CC1C(=O)N(C)c2ccc(C(=O)N(C)C3CCCCC3)cc2N1C1CC1,IC50,27.4,nM,27.4
CHEMBL4202845,CC1C(=O)N(C)c2ccc(C(=O)NC3CCCCC3)cc2N1C1CC1,IC50,285.5,nM,285.5
CHEMBL4205657,CC1C(=O)N(C)c2ccc(C(=O)Nc3ccccc3F)cc2N1C1CC1,IC50,177.5,nM,177.5
CHEMBL4213012,CC1C(=O)N(C)c2ccc(C(=O)Nc3ccc(Cl)cc3)cc2N1C1CC1,IC50,107.5,nM,107.5
CHEMBL343448,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,IC50,36.0,nM,36.0
CHEMBL3654315,CCn1nc(C)c2c1C(=O)N(c1cc(C)c3nnc(C)n3c1)[C@@H]2c1ccc(Cl)cc1F,IC50,39.0,nM,39.0
CHEMBL4465878,Cc1cc(-c2nc3sc4c(c3c(=O)[nH]2)CCN(C)C4)cc(C)c1OCCOCc1ccc(/C=C/C(=O)NO)cc1,IC50,980.0,nM,980.0
CHEMBL4473057,COc1cc(OC)c2c(=O)[nH]c(-c3cc(OC)c(OC(=O)C(C)(C)Oc4ccc(Cl)cc4)c(OC)c3)nc2c1,IC50,9.7,nM,9.7
CHEMBL4521111,Cc1cc(F)cc(C)c1Oc1ccc(C(C)(C)O)cc1-c1cn(C)c(=O)c2[nH]c(C(=O)NC3(C)CC3(F)F)cc12,Ki,780.0,nM,391.0
CHEMBL4068474,Cc1nnc2c(Nc3cccc(NC(=O)OC(C)(C)C)c3)nc3ccccc3n12,IC50,120.0,nM,120.0
CHEMBL3353986,COC(=O)c1ccc(-c2ccc3c(c2)[C@H](Nc2ccccc2)C[C@H](C)N3C(C)=O)cc1,IC50,1258.93,nM,1258.93
CHEMBL3353989,CC(=O)N1c2ccc(-c3ccc(CO)cc3)cc2[C@H](Nc2ccccc2)C[C@@H]1C,IC50,501.19,nM,501.19
CHEMBL3354002,COc1cccc(N[C@@H]2C[C@H](C)N(C(C)=O)c3ccc(-c4ccc(C#N)cc4)cc32)c1,IC50,1000.0,nM,1000.0
CHEMBL4126698,Cc1noc(C)c1-c1cc(O)cc(C(O)c2ccc(Cl)cn2)c1,IC50,495.0,nM,492.39
CHEMBL4126957,COc1cccc(C(O)c2cc(O)cc(-c3c(C)noc3C)c2)c1,IC50,478.0,nM,478.315
CHEMBL4127775,Cc1noc(C)c1-c1cc(O)cc(C(O)c2ccncc2)c1,IC50,303.0,nM,302.5
CHEMBL4521850,O=C(CN1C(=O)CNC1=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCC(C3CC3)C2)c1,IC50,50118.72,nM,50118.72
CHEMBL4565203,C[C@@]1(C2CC2)NC(=O)N(CC(=O)Nc2ccc(Br)c(S(=O)(=O)N3CCCC3)c2)C1=O,IC50,50118.72,nM,50118.72
CHEMBL4462452,Cc1nnc2n1-c1ccc(-c3ccc(N)nc3)cc1C(Nc1ccc(Cl)cc1)CC2,Ki,68.4,nM,352.2
CHEMBL4212346,COC(=O)c1ccc(Nc2ncc3c(n2)N(C2CCCC2)[C@H](C)C(=O)N3C)c(OC2CCCC2)c1,IC50,253.0,nM,253.0
CHEMBL4210571,COc1cc(C(=O)NCCN(C)C)ccc1Nc1ncc2c(n1)N(C1CCCC1)[C@H](C)C(=O)N2C,IC50,104.0,nM,104.0
CHEMBL4216875,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)[C@@H](C)C(=O)N2C,IC50,107.0,nM,107.0
CHEMBL4206171,CCC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,IC50,2579.0,nM,2579.0
CHEMBL4557084,Cc1cc(-c2cc(S(C)(=O)=O)cnc2Oc2ccc(F)cc2F)n2cc[nH]c(=O)c12,IC50,229.0,nM,258.5
CHEMBL3977798,Cc1nnc2c(NC3CCN(C)CC3)cc(-c3[nH]c4ccccc4c3Cc3ccccc3)nn12,IC50,3.0,nM,3.0
CHEMBL3975797,CNc1cc(-c2cn(C)nc2Cc2ccccc2)nn2c(C)nnc12,IC50,38.0,nM,38.0
CHEMBL3903961,Cc1nnc2c(NC(C)C)cc(-c3cn(C)nc3Cc3ccccc3)nn12,IC50,105.0,nM,105.0
CHEMBL3943936,Cc1nnc2c(NC3CCN(S(=O)(=O)C4CCN(C)CC4)CC3)cc(N(C)Cc3ccccc3)nn12,IC50,39.0,nM,39.0
CHEMBL3935510,CCOc1cc(=O)n(C)cc1-c1cc(N(C)C(=O)Cc2cc(F)ccc2Cl)ccc1Oc1ccc(F)cc1F,Ki,81.3,nM,131.65
CHEMBL3916616,Cc1noc(C)c1-c1ccc2c(c1)C(CCCN1CCNCC1)(c1ccccc1)C(=O)N2,IC50,51.0,nM,51.0
CHEMBL3897186,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2cc(C(F)(F)F)ccc2Cl)c2cc[nH]c2c1=O,Ki,23.5,nM,54.6
CHEMBL3891653,Cn1cc(-c2cc(C(=O)NCc3ccccn3)ccc2Oc2ccc(F)cc2F)c2cc[nH]c2c1=O,Ki,45.6,nM,41.75
CHEMBL3923757,Cn1cc(-c2cc(S(C)(=O)=O)ccc2OCCC2CC2)c2cc[nH]c2c1=O,Ki,2.9,nM,3.25
CHEMBL3957506,Cn1cc(-c2cc(S(C)(=O)=O)ccc2OCCN2CCOCC2)c2cc[nH]c2c1=O,Ki,211.0,nM,142.45
CHEMBL3906355,Cn1cc(-c2cc(S(C)(=O)=O)ccc2OC[C@@H]2CCC(=O)N2)c2cc[nH]c2c1=O,Ki,108.0,nM,73.5
CHEMBL4109883,Cn1cc(-c2cc(S(C)(=O)=O)ccc2OCC2C[C@@H]3CC[C@H]2C3)c2cc[nH]c2c1=O,Ki,1.5,nM,2.05
CHEMBL3935168,Cn1cc(-c2cc(S(=O)(=O)N3CCOCC3)ccc2Oc2ccc(F)cc2F)c2cc[nH]c2c1=O,Ki,19.3,nM,99.65
CHEMBL3932024,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCc1cnc[nH]1)c1nnc(C)n1-2,IC50,2.189,nM,1.308
CHEMBL1957266,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,14.0,nM,597.7187647058823
CHEMBL3220211,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,52120000.0,nM,11496308.42857143
CHEMBL4553271,Cn1ccc2cc[nH]c2c1=O,IC50,7500.0,nM,12950.0
CHEMBL4776831,Cc1noc(C)c1-c1ccc2nc(-c3cnn(C(C)(C)CO)c3)nc(N3CCOC[C@@H]3c3ccccc3)c2c1,Kd,87.0,nM,87.0
CHEMBL4759884,CC(=O)N1CCN(c2nc(-c3cnn(CC(C)(C)O)c3)nc3ccc(-c4c(C)noc4C)cc23)[C@@H](c2ccccc2)C1,IC50,140.0,nM,110.5
CHEMBL3590396,Cc1cc2ccnc(N[C@@H]3CCNC[C@H]3OCC3CCS(=O)(=O)CC3)c2[nH]c1=O,IC50,12589.25,nM,9449.41
CHEMBL3590401,CCCO[C@@H]1CNCC[C@H]1Nc1nccc2cc(C)c(=O)[nH]c12,IC50,6309.57,nM,6309.57
CHEMBL4095153,Cn1cc(-c2cc3c(cc2C(F)F)N(c2cc(N4CCOCC4)c4c(c2)n(C)c(=O)n4C)CCC3)cn1,IC50,1100.0,nM,1100.0
CHEMBL3974281,Cc1ccc2ncccc2c1-c1cc(-c2c(C)noc2C)cc2[nH]c(C(O)CCO)nc12,IC50,379.0,nM,220.1
CHEMBL3590383,Cc1cncc(-c2cnc(N[C@@H]3CCNC[C@H]3OCC3CCS(=O)(=O)CC3)c3[nH]c(=O)c(C)cc23)c1,IC50,5011.87,nM,13139.665
CHEMBL3590388,Cc1cc2ccnc(N[C@@H]3CCNC[C@H]3OCC3CCCCC3)c2[nH]c1=O,IC50,5011.87,nM,4324.67
